ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents
32409007,C00F,71,06/29/2026,15:55:59:210,2,00/00/0000,00:00:00:000,,38.903706,-77.007056,0.00,0,0.00,,,4,0,0,-72.4,-72.4,,,216,619.350000,20,15,A,1,1,0,0,823380,-101.06,-101.06,-14.86,-0.77,-101.69,-101.69,-15.24,-1.31,256,-1.43,-99.91,-99.91,-14.03,1.28,-100.84,-100.84,-14.81,-0.54,3C8010,,,,,,,,,,,,0C0808001025460058000000,12,08,08,00,10,37,460058000000
32409007,C00F,71,06/29/2026,15:55:59:210,2,00/00/0000,00:00:00:000,,38.903701,-77.007017,0.00,0,0.00,,,5,0,0,-72.4,-72.4,,,216,619.350000,20,15,A,1,1,0,0,823380,-100.64,-100.64,-14.54,-0.71,-101.42,-101.42,-14.83,-0.62,0,-0.8,-99.47,-99.47,-13.5,2.55,-100.46,-100.46,-14.36,0.25,3C8010,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:55:59:210,2,00/00/0000,00:00:00:000,,38.903696,-77.006977,0.00,0,0.00,,,6,0,0,-72.2,-72.2,,,216,619.350000,20,15,A,1,1,0,0,823380,-100.87,-100.87,-14.73,-1.07,-101.26,-101.26,-14.68,-0.87,0,-0.88,-99.77,-99.77,-14.08,1.66,-100.6,-100.6,-14.7,-0.05,3C8010,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:55:59:211,2,00/00/0000,00:00:00:000,,38.903691,-77.006938,0.00,0,0.00,,,7,0,0,-72.2,-72.2,,,216,619.350000,20,15,A,1,1,0,0,823380,-100.84,-100.84,-14.59,-0.84,-101.15,-101.15,-14.68,-0.89,256,-0.77,-100.24,-100.24,-14.64,0.51,-100.73,-100.73,-14.9,-0.34,3C8010,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:57:36:113,2,00/00/0000,00:00:00:000,,38.903686,-77.006898,0.00,0,0.00,,,8,0,0,-73.5,-73.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:57:36:113,2,00/00/0000,00:00:00:000,,38.903680,-77.006859,0.00,0,0.00,,,9,0,0,-73.6,-73.6,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:57:36:113,2,00/00/0000,00:00:00:000,,38.903675,-77.006820,0.00,0,0.00,,,10,0,0,-73.5,-73.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:57:36:114,2,00/00/0000,00:00:00:000,,38.903670,-77.006780,0.00,0,0.00,,,11,0,0,-73.5,-73.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:59:25:306,2,00/00/0000,00:00:00:000,,38.903665,-77.006741,0.00,0,0.00,,,12,0,0,-83,-83,,,216,619.350000,20,15,A,1,1,0,0,823256,-110.62,-110.62,-14.31,-0.38,-111.84,-111.84,-15.7,-1.79,0,-1.43,-112.98,-112.98,-16.02,-3.11,-111.68,-111.68,-14.99,-1.89,4C8010,,,,,,,,,,,,0C0808001025460058000000,12,08,08,00,10,37,460058000000
32409007,C00F,71,06/29/2026,15:59:25:307,2,00/00/0000,00:00:00:000,,38.903628,-77.006533,0.00,0,0.00,,,13,0,0,-82.9,-82.9,,,216,619.350000,20,15,A,1,1,0,0,823256,-109.87,-109.87,-13.85,0.46,-111.66,-111.66,-15.52,-1.42,32,-0.76,-113.88,-113.88,-17.04,-4.16,-111.47,-111.47,-14.91,-1.62,4C8010,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:59:25:307,2,00/00/0000,00:00:00:000,,38.903591,-77.006325,0.00,0,0.00,,,14,0,0,-83.2,-83.2,,,216,619.350000,20,15,A,1,1,0,0,823256,-109.94,-109.94,-13.8,0.65,-110.88,-110.88,-14.88,-0.83,32,-0.24,-113.7,-113.7,-16.42,-3.02,-111.2,-111.2,-14.37,-0.89,4C8010,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,15:59:25:307,2,00/00/0000,00:00:00:000,,38.903554,-77.006118,0.00,0,0.00,,,15,0,0,-83.1,-83.1,,,216,619.350000,20,15,A,1,1,0,0,823256,-110.05,-110.05,-13.48,1.08,-110.75,-110.75,-14.57,-0.67,32,0.37,-111.66,-111.66,-14.67,-0.65,-110.76,-110.76,-13.99,0.08,4C8010,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,16:00:39:982,2,00/00/0000,00:00:00:000,,38.903517,-77.005910,0.00,0,0.00,,,16,0,0,-87.1,-87.1,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,71,06/29/2026,16:00:39:982,2,00/00/0000,00:00:00:000,,38.903504,-77.005834,0.00,0,0.00,,,17,0,0,-88.1,-88.1,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
